Tokenized POS Text
"[('ProductId', 'NNP'), ('B001E4KFG0', 'NNP')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('3', 'CD')]"
"[('Summary', 'NNP'), ('Hearty', 'NNP'), ('Oatmeal', 'NNP')]"
"[('Text', 'NNP'), ('seems', 'VBZ'), ('little', 'JJ'), ('wholesome', 'JJ'), ('supermarket', 'NN'), ('brands', 'NNS'), ('somewhat', 'RB'), ('mushy', 'JJ'), ('doesnt', 'NN'), ('quite', 'RB'), ('much', 'JJ'), ('flavor', 'NN'), ('either', 'CC'), ('didnt', 'JJ'), ('pass', 'NN'), ('muster', 'NN'), ('kids', 'NNS'), ('probably', 'RB'), ('wont', 'VBP'), ('buy', 'VB')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('grumpyrainbow', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('0', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('0', 'CD')]"
"[('Score', 'RB'), ('5', 'CD')]"
"[('Summary', 'JJ'), ('good', 'NN')]"
"[('Text', 'RB'), ('Good', 'JJ'), ('oatmeal', 'NN'), ('like', 'IN'), ('apple', 'NN'), ('cinnamon', 'NN'), ('best', 'JJS'), ('Though', 'IN'), ('wouldnt', 'JJ'), ('follow', 'JJ'), ('directions', 'NNS'), ('package', 'NN'), ('since', 'IN'), ('always', 'RB'), ('comes', 'VBZ'), ('soupy', 'JJ'), ('taste', 'NN'), ('could', 'MD'), ('since', 'IN'), ('like', 'IN'), ('oatmeal', 'NN'), ('really', 'RB'), ('thick', 'JJ'), ('add', 'VB'), ('milk', 'NN'), ('top', 'NN')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('kbogo', 'VBD'), ('shoelover', 'NN')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('2', 'CD')]"
"[('Score', 'RB'), ('3', 'CD')]"
"[('Summary', 'JJ'), ('Mushy', 'NNP')]"
"[('Text', 'JJ'), ('flavors', 'NNS'), ('good', 'JJ'), ('However', 'RB'), ('see', 'VBP'), ('differce', 'JJ'), ('Oaker', 'NNP'), ('Oats', 'NNP'), ('brand', 'NN'), ('mushy', 'NN')]"
"[('ProductId', 'NNP'), ('B001EO5QW8', 'NNP')]"
"[('ProfileName', 'NNP'), ('knitty', 'VBD'), ('pants', 'NNS')]"
"[('HelpfulnessNumerator', 'NN'), ('1', 'CD')]"
"[('HelpfulnessDenominator', 'NN'), ('2', 'CD')]"
"[('Score', 'RB'), ('4', 'CD')]"
"[('Summary', 'JJ'), ('good', 'JJ'), ('next', 'JJ'), ('time', 'NN'), ('wont', 'JJ'), ('order', 'NN'), ('Variety', 'NNP'), ('Pack', 'NNP')]"
"[('Text', 'NNP'), ('really', 'RB'), ('like', 'IN'), ('Maple', 'NNP'), ('Brown', 'NNP'), ('Sugar', 'NNP'), ('flavor', 'NN'), ('regular', 'JJ'), ('fine', 'JJ'), ('brown', 'NN'), ('sugar', 'NN'), ('added', 'VBD'), ('Apples', 'NNP'), ('Cinnamon', 'NNP'), ('flavor', 'NN'), ('OK', 'NNP'), ('quick', 'JJ'), ('easy', 'JJ'), ('satisfying', 'VBG'), ('breakfast', 'NN'), ('Ill', 'NNP'), ('order', 'NN'), ('brand', 'NN'), ('variety', 'NN'), ('Ill', 'NNP'), ('get', 'VB'), ('Maple', 'NNP'), ('Brown', 'NNP'), ('Sugar', 'NNP')]"
