Date,URL,Review_Title,Author,Rating,Review_text,Review classfication,Rev_Type
Reviewed in India on 24 October 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=7,Good product  excellent build quality  Read the cons  though ,BPB,5,  Pros Good build quality Earpieces are metallic build  strong build and excellent fit and finish Flat type tangle free wires which are strong enough to withstand rough handling    degree bend pin helps a lot while using with any smartphone kept in hip pocket Compatibility with many smartphone brands The earpieces have excellent fit in the ear canal  resulting in almost      ambient noise cancellation Cons    IMHO   the metallic earpieces are a bit little too heavy  they tend to fall off the ear due to their own weight  if the earpieces are kept a little loosely  to allow me to listen to somebody sitting next to me  or be aware of ambient sounds while driving through bad traffic and have to take a call     If I try to fit them tightly in the ear canal so that they will not fall off easily  then another problem arises   the lowest volume in my Mi Note   Pro sounds TOO LOUD for my ears  Since I cannot reduce the phone s volume any more  I have to keep the earpieces a little loose in the ear canal  And then they tend to fall off again  due to their weight and the loose fit  Maybe this is a compatibility issue with this particular phone model Mi Note   Pro  ,genuine,1
Reviewed in India on 28 April 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=7,Garbage,S S,1,  Update  i bought these headphones on   th of march      and i do not even remember when it stopped working  i think within     months   and it felt more heavy than earrings in my ears finally i threw in the garbage and ordered jbl c   l something like that do not remember the name exactly  they had very bad wire quality  broke within two months and     more than older version jbl c    decent average sound quality  durable enough  which i used almost   years    finally i am using my more than   years old Sennheiser cx      just miss the mic but it has awesome sound quality light weight  long hours usage without hurting my ears and durable wires And it works surprisingly too good while playing pubg using in built mic of mobile  No issues at all in any terms Old review  They fall easily from my ears even after trying every earbud size  Rest are just fine  Built quality is good ,genuine,1
Reviewed in India on 1 October 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=7,Value for money wired earphones,Vipul,5,  My purpose of buying these headphones were mostly for meetings and calls as the maximum volume supported by my phone is not much  here is the review for my one month usage of these headphones  note that they are more based on the usage on call than listening to music Pros    Tangle free flat wire with good wire length   Buds completely insert in ear holes and provide ample noise cancellation   Extra buds supplied with the pack   Mic is almost in level to the mouth while speaking   L shaped jack makes it easier for connecting to laptops or phones in pocketCons    Mic is not so sensitive  voice gets unclear if its idling at some distance from mouth  Have to be held close to mouth while talking   Ear buds do not fit everyone is ear and may keep on falling if your ear holes are smaller than average   Buds fall off sometimes from its place  not firmly assembled   Mic may get tangled to shirt collar while walking or sitting  Have to be properly adjusted Even after these cons I will give it   rating as they are the best value for money wired earphones available in the market right now ,genuine,1
Reviewed in India on 3 December 2018,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,The Best Headphone at this price,sujoy,5,  First let me tell all here I am listening walkman since March       i have listened  sony aiwa  headphone for last    years and i must say this  headphone currently best clear treble Mega bass I am really surprised by the sound quality of this product  I am not a boat fan but those who are giving neagative  either they are anti bass fan or they have bad intention of maligning boat and those who are in doubt my advise is to them go ahead and buy without hesitation I would like to buy another one very soon Thanks boat and amazon for faster delivery  bass   star treble   star,genuine,1
Reviewed in India on 12 October 2018,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,This is First Copy Earphones of boAt    ,ALLWYN PAUL,2,  This is not original   it is first copy of boAt         Original is available only on Myntra,fake,0
Reviewed in India on 8 August 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,good earphones with amazing bass,Sreekesh,4,  i have been using this headset for past few months have dropped it couple of times the build qlty is excellent sound is amazing especially bass good of music lovers tangle free i used jbl before feels this one is better  if you are a melody listener   you should go for jbl as it has better sound quality and treble if you prefer edm jazz pop hiphop movies this one is for you guys,fake,0
Reviewed in India on 15 March 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,Much better than i was expecting ,Aishwarya Rastogi,4,  I am using this earphone and I found it very good  If soomeone is planning for this earphone then definitely go for it you will not disappointed by it  Earlier I used skullcandy   I also have skull candy headphone which is more better than earphone  and jbl earphone  This one is better than them Everything is good and nice in this earphone  Even I find it better than any earphones I used before do not mind any negative reviews which is present here Everything has some cons and pros but I am sure you will find its pros more than its cons So do not bother by any negative review present here  go for it if you are planning Everything is perfect in this earphone whether it is sound balance  clarity  bass  quality  noise isolation all are perfect ,genuine,1
Reviewed in India on 29 June 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,SUPER DURABLE and Tangle FREE,Hrithik Rawat,4,  Pros    Durable   Comes with a sports wear  so that the earplugs do not drop of when you exercise    Tangle free cable   Has   set of earpieces of different sizes   two colours Grey and Black    Good Noise CancellationCons    Has more Bass   Muffled Mids   The frequency output is not really average but when tweaked can sound pretty good Have been using it for two years  mostly while travelling in the city Works just fine ,fake,0
Reviewed in India on 22 February 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,Size too big to fit in ears,Abhishek D,1,  Earphone ear piece is too big for ear opening and as a result it is almost impossible to comfortably ise them  They keep falling off of ears as they are unfit  Sound quality is fine but no point if can not be used due to such a big ear piece ,genuine,1
Reviewed in India on 30 April 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,There is no support Customer care for Boats,Karthik,1,  Hey guys My earphone busted in   months  Tried reaching Boats customer care  no one picks up the phone  Created a ticket and no response for the past   weeks  Do not buy their products if you are expecting warranty claims This is my  rd Boats headphone and my first time claiming warranty  Pathetic service  I feel bad for recommending this to my friends and colleagues  going to go back to JBL again Update  after a month of following up on Boat Facebook support  they have replaced my earphone  There is no other way to reach the boat support team but just through FB only  Hope this helps ,genuine,1
Reviewed in India on 28 April 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,Don t buy this if you want to enjoy music,Vivek,2,  The product does not do justice to the high ratings  It is not as good as others make it seem  I am an audiophile and I have used tens of headphones and earphones  and it is one of the worst I have used Pros   It is not expensive and hence most can afford it    It has really good bass  and hence if that is the only thing you need  go ahead    It is sturdy as the earpieces are made of metal  Falling on the ground does not harm it any way  Even sitting on it by mistake will not do any damage  Better than plastic earpieces in that regard Cons   The sound quality is horrible after you go above     volume  It sounds like those cheap speakers in marriage halls    The volume at full capacity is very very loud  loud enough to make one partially deaf    The worst of it all  It is very heavy and hence starts hurting the ears within a few minutes of usage    It has very poor noise cancellation unless you literally stuff it inside your ear canal which hurts even more    It is definitely not a product for lon term usage as you will always have pain in your ear canal and may also damage your eardrums if played at higher volumes Verdict   Buy Sennheiser  Sony or Philips  may last less but you will enjoy the experience ,genuine,1
Reviewed in India on 5 October 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,Best For BA   lovers ,BookWorm,5,  Excellent sound  Really Loud      volume in mobile is enough to make you satisfy with music  The main highlight of this earphone is bass  which can be easily felt   sizes of ear ear plugs are given   sets each  plus an ear holder  The wires are flat and tangle free  Looks premium and nice  Really durable with metal body  Thanks amazon for giving it        only  Real Pics are given for ur reference ,fake,0
Reviewed in India on 10 January 2021,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=8,Read this before buying ,Amazon Customer,5,  i am giving  stars only to make it appear at top  i am strictly do not going to buy this again  they reduced the quality of the product  cable is super tanging  cheap joints  cheap plastic  short cable  see above pictures i shared  comparing with original green coloured i brought few months before    i brought this from  seller techfire  official  i do not know even this is orginal of not ,fake,0
Reviewed in India on 20 June 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,Value for money,Bharad,5,  I always used to buy which ever earphones were lower in price and assumed those were good   They used to give trouble after some time   Worst was when speakers work fine but mic goes bad and we will not realize until the person on the other end keeps asking us to repeat   This earphones with mic from boAt is so good where I bought it by chance when my previous earphones failed   I realized this is too good for its price   Clarity of speakers is fantastic and the mic is also great   I use this not just for listening to music but use this for conference calls and singing too   Now that we have online classes for school kids  I bought a second one recently for my kid ,genuine,1
Reviewed in India on 18 August 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,Pretty decent but not suitable for long run,Saurav Bilung,1,    of us brought this item but what happened with every one of us is that one side of earphone stopped working so we placed a request for repair with the company  They repaired it but again after one year the same issue started to occur again  Now nothing could be done and we had to throw it out   We went for it because of the price and reviews  If it had not happened to you sooner believe me it will happen to you and you will throw it out under   years  The sound is decent  the bass is loud but the sound does not feel that good  If you are strictly on a budget then go for such low priced earphones from any brand  I have used a lot of high quality earphones and headphones over the last few years and hence I can say that I did not feel that premium or HD sound or whatever you call from this product  This is the case with all the products from any brand under this range  It is not a bad product  I just did not feel the richness in quality after using so many good products ,genuine,1
Reviewed in India on 24 July 2018,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,It didn t live upto the claimed  Bassheads  word but overall OKAY,Nishant Sharma,3,  I purchased this earphone seeing the discount thinking it would live upto the specifications but really it did not  Something which I liked is the build quality it is just awesome but in case of audio output I had to go for an equaliser and still did not feel upto the mark  Clarity       bass effect      treble       mids     overall sound mix    are my observations  Guys do not waste your money on this       you can if you have extra Money to buy another one  Believe me senheiser cx     provided me  better in all aspects  sound  Never expect  Super extra Bass  or maybe my product is faulty      check yours very carefully  I do not know about other Boat products  higher models may be good,genuine,1
Reviewed in India on 10 March 2021,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,DEFINITELY THE BEST EARPHONE I HAVE EVER USED ,Praveen,5,  I love this Earphones  first thing is first  it actually lasts IT ACTUALLY LASTS LONG YOU HAVE NO IDEA HOW MANY OTHER EARPHONES  ESPECIALLY HIGH QUALITY EXPENSIVE ONES I HAVE BOUGHT THAT did not EVEN LAST A MONTH  This however has lasted for almost   months I am an extremely rough user of earphones and I have wasted more money on Earphones than anything and dear lord  this is certainly the best earphone I have ever used  now they do not have the highest sound quality like Sennheiser ones  but they certainly have the durability  you have no idea how many times I have connected and removed this earphone in the past   months after buying a connector for a PC  no I do not have any other Earphones  just this one which I plug back and forth on my pc and phone  and it never got damaged  it did however give slightly less noise on either side  but they got fixed automatically once I just left them for a few hours  and other than that and the earbuds falling off easily  I have no other concern Seriously  if you need a long lasting  durable Earphones then go for it  it may not look durable but it certainly is one  I am a very heavy person who lied down on many earphones underneath me and damaged them  and this one  this one is the first to escape my heaviness unharmed  usually earphones I lie down on just get damaged and will have low  unbalanced sound on either of those earphones forever  but not this  this fixes itself somehow and works when left alone for a few hours Again  the sound quality is high but not the best like other expensive ones  but this sure has the durability alright  high quality durability perfect for an extremely rough user ,genuine,1
Reviewed in India on 10 April 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,Pathetic earphones,Pradeep PM,1,  Edit  Having used it for a month now  I just tossed it into trash can for not performing as expected and the ergonomics are way off  Simply not suited for wearing beyond   mins  This product is overwhelmingly overrated    thousand plus reviews with   stars got me thinking this must be really good   For the price it over delivers what it offers  But this is something not meant even for a novice audiophiles  The bass on it is quiet over powered unless it is toned done via an EQ  But still does not help for anything else like using it for calls  listening to vocals  movies or even games  This is best suited for those bass oriented ballywood and bojpuri songs which makes your head explode  it is in the same league of those aweful Skullcandy  beats and Sony  Over all  it is a well rounded package in terms of bass performance and nothing else,genuine,1
Reviewed in India on 24 February 2021,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,Bought these years ago  lost them  then bought again ,Negi,5,  These are perhaps one of my absolute favourite earphones  The build quality is premium  and the number of earbuds are impressive too When I lost my old earbuds  same ones  i went ahead and bought some other bluetooth earphones headphones  but ultimately  I needed a wired one too  that is when I decided to go back to boat  it was either this  tried and tested  or the new variant they got  I went for this because I know how they are  And I was not disappointed Only two issues I feel are Black shows greysteel metallic finish where earbud is  but we get green steel The second is a bit of an actual issue  the hooks  however impressive  do not have a proper location on the earbud piece  if they had designed the earbud piece in a way that the hook could snuggly fit  or atleast not have a chance of getting removed  I would be happy  but it has a tendency to move around  and I really need that hook for using the earphones  I do not mind getting   bud set than   and instead get   sets of hooks instead Overall       ,genuine,1
Reviewed in India on 27 January 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,Review From An Audio Engineer,Vaibhav,1,  I bought this after I lost my Boat Bassheads      I loved them and thought this     will be a better upgrade So many positive reviews here  hence I bought them But I returned them the same day I listen to ALL sub generes of EDM  some heavy metal and some bollywood music too So I tested this earphones with all of them generes I used    kbps mp s and FLAC files running through a quad DAC from my LG V   to test this earphones  SOUND QUALITY  Lows are thumpy and un natural Mids are dull Highs are non existent  forget clarity Very un balanced overall sound BUILT QUALITY  Great build quality Very sturdy and premium earcups  seemed durable Tangle free and a good quality cable LOOKS  Mine were in Molten Orange colour  looked fantasticTL DR    for sound quality    for built quality    for looks      for value for moneySound quality is the only reason I returned this product  I recommend you to NOT TO BUY this Choose something from Audio Technica  Senhiser or Sony Hope this helps  Peace   ,genuine,1
Reviewed in India on 11 October 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,Disappointed purchase,Sujit,1,  I need to divide the feedback into two sections The product selection  ordering and delivery from Amazon was flawless  Everything was just perfect The second section is the tricky part  I am A BOAT fan as I have been using couple of headphones from them  This was a gift for my wife who misplaced her headphones  The packaging was excellent and she really liked it The issues started appearing from the  rd day  The cable from the left earpiece worn out and no sound was coming out  The very next day  the ear cushion started to deteriorate  I had misplace the original packaging so replacing this might not be possible but I am disappointed ,genuine,1
Reviewed in India on 24 June 2018,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,My feedback after using   month,RAJAN SINGH,5,  Looking for earphones online   This may be the best choice for you  if you are a stock android useR  this earphone provides the best hearing experience Some users reviewed that the sound get deteriorate above           but NO     the sound is still crispy and detailed even on      volume  The Black colour looks more classy then other colours  it has a shiney pink tint on it which looks beautiful  if we talk about comfort    do they well played here  these are so comfortable  but we can purchase same audio quality earphone through the market   like ubon big daddy bass for less than     rs but the durability  and comfort is not same as these earphones,genuine,1
Reviewed in India on 7 June 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=9,Compromising Quality,Amit A.,1,  I am surprised  I never expected such bad product from Boat  I bought this product just   weeks back and I find quality is really bad First of all  it slips frequently out of your ear  due to its metal body  Secondly  voice is not at all clear  while you talk to someone on phone  Listening music is just ok I bought it while seeing other customers ratings  they could be right also but I doubt perhaps now boat is compromising with product quality ,genuine,1
Reviewed in India on 13 October 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,The Nirvana for gamming,Snehith Abin,4,  Build Quality  The Heads of the headphone and the Button are made out of metal so there is an added rigidity  bonus  along with the gold plated Pin feels good   Only downside  the platic wires feel bit weak at the jointsSound quality  is great compared  to the price tag  tested     surround sound which felt really great due to the high bass  and due to that  gaming will be really easy and goodDeeper bass for  games is always good Truly Boat has impressived me and now I am at Nirvana,genuine,1
Reviewed in India on 25 October 2018,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Worst and deceiving product   ,Krupa Mandrekar,1,  Material quality was sooooooo bad its been only   months and this headset is totally crashed  It started    days after I started using First the songs and videos were changing automatically without doing anything  Calls received using headphones got disconnected automatically phone volume started changing automatically  This was happening as soon as headset is put on phone  It was frustrating  And now finally one of the mesh net on headphone is broken while I was cleaning it plz do not buy it on amazon they are selling duplicate copies I guess Did not expected this from Amazon   Boat as my previous headset was durable for more than   months which was bought from a proper shop ,genuine,1
Reviewed in India on 25 October 2018,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Do not buy this company products,Hari,1,  The product is OK for    days and after face  the mic issues Overall sounds are good Built in quality is good Overall Headset quality is good Thanks for the amazon guidelines for replacement But I received the product with out extra accessories which was provided earlier  customer service needs to be improved Even now after   months  it is not working    Very cheap quality products,genuine,1
Reviewed in India on 21 July 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Best in budget earphones with brand warranty  ,Divyansh,5,  Perfect sound clearance   with best base boost with clearity   Comforting earbuds with different sizes and a earpiece for hold on grip for gym use etc  Earbuds provided with   colours so its your choice how you want your earphones to look like   For more convinienece buy this earphone with boat case which helps you carry your earphone with ease and keeping it safe too   Although the metal body of earphone is best premium look and trustworthy with gold plated jack   And the case is also not only cloth made but its hard and has some plastic or metal inside it making it unbreakable   And this earphone is tangle free and does not attract dust easily   the left earplug had mic and has a pause play button inside it  ,genuine,1
Reviewed in India on 21 June 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Best of the range,Ajay Jayakumar,4,  Very nice product  Boat have a very nice set of earphones below     rupees  Trustable and also value for money  We will get some local chineese brands below this range  But they will not be durable It is very glad to know that they provide one year warranty to their products They are having good bass and sound quality is just superb  At first it was not fitted in my ear  But after using the rubber  it is comfortably sticking to my ears Very nice experience with the product ,genuine,1
Reviewed in India on 20 March 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,The seller sends damaged product again and again,Rahul,1,  I bought black colour to my brother it works nice  I like that and again I put an order white colour for myself  I received a damaged product  audio jack is slightly bend and doest not fit to my phone  so I return  And put a new order I received again same damaged piece  The I give replacement  In replacement too I received same damaged product    times same damaged products  Later I put refund and do not have idea to have this headset again,genuine,1
Reviewed in India on 30 July 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Completely avoid this earphone  ,Arun Sharma,1,  This was my second purchase of this earphone  This time mic stopped working after    days of billing  means    days of regular daily     hrs use  Even in last earphone right ear stopped working after   months and after repair replacement by Boat  again stopped working in both year after    months  Whatever it offers is zero if we get the worst durability ,genuine,1
Reviewed in India on 2 October 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Cool and awesome,Hari,4,  I bought Boat bass heads     yesterday morning  I used this continuously for   hours for listening to music and made calls also During my use in the first day  I found that this headset is awesome  Previously  I was using an AKG headset with USB C connectivity  Compared to that I found the sound quality is at par or even better Things I love     Tangle free    L shaped connecting end    Comfortable ear bud    Long enough to keep my phone in my pant pocket while making calls or listening music    Sound quality is good    Adequate noise cancelation    Good bass    Design is cool Things I do not like As of now there are nothing I hate about this one  I will keep updating when I find something in future Hope this will not be a disappointment in long run ,genuine,1
Reviewed in India on 28 May 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Not that good vocals quality  Good Bass  Good Build Quality and Sturdy ,Gokul,3,  Dear Audiophiles Let me start with saying you that if you are spotify gaana Wink users  please pay and upgrade your account  If you can not pay for these services  download songs to phone from other sites and listen in phone  Online basic account gives you pathetic music quality Coming to the headset  most probably you guys are like me who do not know much about highs and lows  all we care is Clarity and Bass  In that context I must say this headset is pretty ok  There is too much hype for Bass of this headset but I found it below the bass of JBL  In this headset Above    percentage volume  bass dominantes vocals which in turn results in a situation where you can not catch the lyrics of song  But I think normally people plays songs at    percentage or less Ok I know you guys are in a hurry  so let me put it in a nut she will as follows Physical noise cancellation     Sturdiness and Hardware Quality     Comfort level     Aesthetic       Personally varies Vocals      upto     volume  After that pathetic Final Verdit  If you need     qualityBass       good vocals go for JBL but its not Durable  Damages easily   Around      If you need just     quality bass       good vocals and good durability this boat headset is an option If you need      bass       Good clarity vocals Durability  Comfortness   go for One More bullets headsets       NB  I have with me these headsets models only  that is why I posted a comparison realted to those  I am not an reviwer but an audiophile by heart Like if you found useful ,genuine,1
Reviewed in India on 27 June 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=10,Can buy better for same price,Ash,4,  If you are in a rush and immediately purchased it because of high number of reviews  then it is fine  Because when so many people purchase a product it creates an effect in the mind that this must be good  that is why everyone is buying it  But if you have throwly investigated the price bracket for various headphones  you can buy better than this Why Base  not premiumDurability   not the best of classSound   very good but not HDI tried Ant audio before this which lasted more than one year  I purchased this now because this was the only competitor and I want to test it for my personal comparison  This is nothing compared to Ant audio Ant Audio W   Base is beyond a        Earphone  It is more strong  Sound is premium and HD  absolute noise cancellation even in Flight seat near wings I listen to a variety to music from EDM to Hard Rock  This headphone is not an audiophile headphone  But still very good quality sound  But Sound is not enough for my taste Buds Note   in one month one side stopped working  Now let us see if the replacement is hassle free or not ,genuine,1
Reviewed in India on 8 January 2021,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,affordable pair of earphones with relatively low price,KJK Ravi Theja,4,  The Boat Bass heads     is an affordable pair of earphones  and the relatively low price makes it accessible to a very wide audience  It is designed and marketed to be bass heavy  and we found that claim to be true These earphones also get really loud but will only appeal to a certain set of buyers  If you are a bass head who enjoys a thump in your music  these earphones are good for the price they command  If you prefer a neutral or a bright sound  these are not for you Pros Excellent build qualityBundled ear hooksCan get loudCons Oversensitive microphoneBass overpowers mids and highsRatings Design  comfort     Audio quality       Value for money       Overall     ,genuine,1
Reviewed in India on 15 September 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,Good for only heavy bass lovers   ,ABHIJEET PATIL,4,  Honestly I feel like the old     bassshead headphones are too good purchase of mine from boat    Seriously of thought this     would be updated version but it is too bass and hav to use equilizer to some songs    I really miss old     boat headphones and bad thing is boat company stopped making it    i think because I did not found one  if you hav one plz tell me   ,genuine,1
Reviewed in India on 14 June 2019,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,Quality product except for fitment,Ren,3,  Trendy color  metal casing  lengthy flat wire and good sound quality for the price  Product comes with   different sizes of ear plugs and a pair of ear hooks  Fixing the ear hooks was not very intuitive  Had to google to figure it out   However the plugs and hooks do not fit well for me  Bit disappointment with the fitment and hence no   stars  BA should improve on this area  Wanted to return this item only for that reason  But there is no return option  only replacement is available ,genuine,1
Reviewed in India on 24 May 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,Too much bass not worth it,Subhadeep mandal,2,  Just received today not damaged everything working normally still not upto the mark  So I am writing cons first Cons   Too much bass  Imagine watching a movie the music is louder than the voice  and the bass does not seem natural Seems artificial  Not the best quality sound   If you want to try out the other silicon buds the provide  Good luck  it is  no less than a wrestling  You will feel like it will get damaged if you use that much force but you need to do it still if you want to use those buds otherwise use the ones that come by default Pros    budget earbuds but as I mentioned bass is too much  So amazon basic is a better budget earbud  Even though Amazon basic looks and seems cheap the price is under cheap despite that it provides decent sound which is more than satisfactory   The wires are beautiful and tangle free   They provide a lot of spare buds useless as I mentioned before  and clips and such   The L shaped jack really helps a lot Overall  it is just an earphone with too much extra unnecessary bass My Skullcandy smoking earbud mic stopped working so I ordered this one  but Skullcandy sound is far far better than this ,genuine,1
Reviewed in India on 19 January 2021,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,Below average sound,Akshay,3,  I had bought on a recommendation as a backup pair but found them very underwhelming  The sound quality is below average  I am used to soundmagic e   range and these have too much noise compared to those  Even soundmagic es  s or es  s are better in those terms  but they are very fragile and I do not buy them  Build quality looks good for the price though ,genuine,1
Reviewed in India on 8 August 2020,https://www.amazon.in/boAt-Heads-225-Headphones-Button/product-reviews/B01MCUSD3L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=11,Worst product ever,KANHOJI,1,  Please do not buy this product  The left speaker stopped working before my first month was even over Total wast of money I think I should have invested more and bought from JBL or Sony Very bad customer care service  The number given in the box does not work  Every time I call on the number  it says  Wrong number  No reply for the email sent by me even do not be foolish and buy this product you will be sorry if you do ,genuine,1
